L1,L2,L3,L4,R1,R2,R3,R4,R5
PTGDS,,,,PTGDR,,,,
PTGDS,,,,PTGDR2,,,,
PTGES,,,,PTGER1,,,,
PTGES,,,,PTGER3,,,,
PTGES,,,,PTGER4,,,,
PTGES2,,,,PTGER1,,,,
PTGES2,,,,PTGER3,,,,
PTGES2,,,,PTGER4,,,,
PTGES3,,,,PTGER1,,,,
PTGES3,,,,PTGER2,,,,
PTGES3,,,,PTGER3,,,,
PTGES3,,,,PTGER4,,,,
RSPO1,,,,FZD8,LRP6,,,
RSPO1,,,,KREMEN1,LRP6,,,
RSPO1,,,,LGR5,,,,
RSPO2,,,,LGR4,,,,
RSPO2,,,,LGR5,,,,
RSPO2,,,,LGR6,,,,
RSPO3,,,,LGR5,,,,
RSPO4,,,,LGR4,,,,
RSPO4,,,,LGR5,,,,
RSPO4,,,,LGR6,,,,
RELN,,,,LRP8,,,,
RELN,,,,VLDLR,,,,
ALDH1A1,,,,CRABP2,RARA,,,
ALDH1A1,,,,CRABP2,RARA,RXRA,,
ALDH1A1,,,,CRABP2,RARB,,,
ALDH1A1,,,,CRABP2,RARB,RXRB,,
ALDH1A1,,,,CRABP2,RARG,,,
ALDH1A1,,,,CRABP2,RARG,RXRG,,
ALDH1A1,,,,CRABP2,RXRA,,,
ALDH1A1,,,,CRABP2,RXRB,,,
ALDH1A1,,,,CRABP2,RXRG,,,
ALDH1A1,,,,RORB,,,,
ALDH1A2,,,,CRABP2,RARA,,,
ALDH1A2,,,,CRABP2,RARA,RXRA,,
ALDH1A2,,,,CRABP2,RARB,,,
ALDH1A2,,,,CRABP2,RARB,RXRB,,
ALDH1A2,,,,CRABP2,RARG,,,
ALDH1A2,,,,CRABP2,RARG,RXRG,,
ALDH1A2,,,,CRABP2,RXRA,,,
ALDH1A2,,,,CRABP2,RXRB,,,
ALDH1A2,,,,CRABP2,RXRG,,,
ALDH1A2,,,,RORB,,,,
ALDH1A3,,,,CRABP2,RARA,,,
ALDH1A3,,,,CRABP2,RARA,RXRA,,
ALDH1A3,,,,CRABP2,RARB,,,
ALDH1A3,,,,CRABP2,RARB,RXRB,,
ALDH1A3,,,,CRABP2,RARG,,,
ALDH1A3,,,,CRABP2,RARG,RXRG,,
ALDH1A3,,,,CRABP2,RXRA,,,
ALDH1A3,,,,CRABP2,RXRB,,,
ALDH1A3,,,,CRABP2,RXRG,,,
ALDH1A3,,,,RORB,,,,
RARRES2,,,,CCRL2,,,,
SOSTDC1,,,,LRP5,,,,
SOSTDC1,,,,LRP6,,,,
SCT,,,,VIPR1,,,,
SCT,,,,VIPR2,,,,
SEMA3A,,,,NRP1,,,,
SEMA3C,,,,NRP2,,,,
SEMA3F,,,,NRP2,,,,
SEMA4A,,,,PLXND1,,,,
SEMA4D,,,,PTPRC,,,,
SEMA6A,,,,NRP1,PLXNA2,,,
SEMA6D,,,,KDR,PLXNA1,,,
SEMA6D,,,,PLXNA1,TREM2,TYROBP,,
SEMA7A,,,,ITGA1,ITGB1,,,
SLC18A1,TPH1,,,HTR1A,,,,
SLC18A1,TPH1,,,HTR1B,,,,
SLC18A1,TPH1,,,HTR1D,,,,
SLC18A1,TPH1,,,HTR1E,,,,
SLC18A1,TPH1,,,HTR1F,,,,
SLC18A1,TPH1,,,HTR2A,,,,
SLC18A1,TPH1,,,HTR2B,,,,
SLC18A1,TPH1,,,HTR2C,,,,
SLC18A1,TPH1,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC18A1,TPH1,,,HTR4,,,,
SLC18A1,TPH1,,,HTR5A,,,,
SLC18A1,TPH1,,,HTR6,,,,
SLC18A1,TPH1,,,HTR7,,,,
SLC18A1,TPH2,,,HTR1A,,,,
SLC18A1,TPH2,,,HTR1B,,,,
SLC18A1,TPH2,,,HTR1D,,,,
SLC18A1,TPH2,,,HTR1E,,,,
SLC18A1,TPH2,,,HTR1F,,,,
SLC18A1,TPH2,,,HTR2A,,,,
SLC18A1,TPH2,,,HTR2B,,,,
SLC18A1,TPH2,,,HTR2C,,,,
SLC18A1,TPH2,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC18A1,TPH2,,,HTR4,,,,
SLC18A1,TPH2,,,HTR5A,,,,
SLC18A1,TPH2,,,HTR6,,,,
SLC18A1,TPH2,,,HTR7,,,,
SLC18A2,TPH1,,,HTR1A,,,,
SLC18A2,TPH1,,,HTR1B,,,,
SLC18A2,TPH1,,,HTR1D,,,,
SLC18A2,TPH1,,,HTR1E,,,,
SLC18A2,TPH1,,,HTR1F,,,,
SLC18A2,TPH1,,,HTR2A,,,,
SLC18A2,TPH1,,,HTR2B,,,,
SLC18A2,TPH1,,,HTR2C,,,,
SLC18A2,TPH1,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC18A2,TPH1,,,HTR4,,,,
SLC18A2,TPH1,,,HTR5A,,,,
SLC18A2,TPH1,,,HTR6,,,,
SLC18A2,TPH1,,,HTR7,,,,
SLC18A2,TPH2,,,HTR1A,,,,
SLC18A2,TPH2,,,HTR1B,,,,
SLC18A2,TPH2,,,HTR1D,,,,
SLC18A2,TPH2,,,HTR1E,,,,
SLC18A2,TPH2,,,HTR1F,,,,
SLC18A2,TPH2,,,HTR2A,,,,
SLC18A2,TPH2,,,HTR2B,,,,
SLC18A2,TPH2,,,HTR2C,,,,
SLC18A2,TPH2,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC18A2,TPH2,,,HTR4,,,,
SLC18A2,TPH2,,,HTR5A,,,,
SLC18A2,TPH2,,,HTR6,,,,
SLC18A2,TPH2,,,HTR7,,,,
SLC6A4,TPH1,,,HTR1A,,,,
SLC6A4,TPH1,,,HTR1B,,,,
SLC6A4,TPH1,,,HTR1D,,,,
SLC6A4,TPH1,,,HTR1E,,,,
SLC6A4,TPH1,,,HTR1F,,,,
SLC6A4,TPH1,,,HTR2A,,,,
SLC6A4,TPH1,,,HTR2B,,,,
SLC6A4,TPH1,,,HTR2C,,,,
SLC6A4,TPH1,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC6A4,TPH1,,,HTR4,,,,
SLC6A4,TPH1,,,HTR5A,,,,
SLC6A4,TPH1,,,HTR6,,,,
SLC6A4,TPH1,,,HTR7,,,,
SLC6A4,TPH2,,,HTR1A,,,,
SLC6A4,TPH2,,,HTR1B,,,,
SLC6A4,TPH2,,,HTR1D,,,,
SLC6A4,TPH2,,,HTR1E,,,,
SLC6A4,TPH2,,,HTR1F,,,,
SLC6A4,TPH2,,,HTR2A,,,,
SLC6A4,TPH2,,,HTR2B,,,,
SLC6A4,TPH2,,,HTR2C,,,,
SLC6A4,TPH2,,,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E
SLC6A4,TPH2,,,HTR4,,,,
SLC6A4,TPH2,,,HTR5A,,,,
SLC6A4,TPH2,,,HTR6,,,,
SLC6A4,TPH2,,,HTR7,,,,
DDC,,,,DRD4,,,,
DDC,,,,HTR1A,,,,
DDC,,,,HTR1E,,,,
DDC,,,,HTR2A,,,,
DDC,,,,HTR3A,,,,
DDC,SLC18A1,,,DRD1,,,,
DDC,SLC18A1,,,DRD2,,,,
DDC,SLC18A1,,,DRD3,,,,
DDC,SLC18A1,,,DRD4,,,,
DDC,SLC18A1,,,DRD5,,,,
DDC,SLC18A2,,,DRD4,,,,
DDC,SLC6A3,,,DRD1,,,,
DDC,SLC6A3,,,DRD2,,,,
DDC,SLC6A3,,,DRD3,,,,
DDC,SLC6A3,,,DRD4,,,,
DDC,SLC6A3,,,DRD5,,,,
SLITRK1,,,,PTPRD,,,,
SLITRK1,,,,PTPRS,,,,
SLITRK2,,,,PTPRD,,,,
SLITRK2,,,,PTPRS,,,,
SLITRK3,,,,PTPRD,,,,
SLITRK4,,,,PTPRS,,,,
SLITRK5,,,,PTPRS,,,,
SLITRK6,,,,PTPRS,,,,
SLIT1,,,,ROBO1,,,,
SLIT2,,,,ROBO1,,,,
SLIT2,,,,ROBO2,,,,
GH2,,,,GHR,,,,
SHH,,,,BOC,PTCH1,,,
SHH,,,,BOC,PTCH2,,,
SHH,,,,CDON,PTCH1,,,
SHH,,,,CDON,PTCH2,,,
SHH,,,,GAS1,PTCH1,,,
SHH,,,,GAS1,PTCH2,,,
SHH,,,,HHIP,,,,
SPX,,,,GALR2,GPR151,,,
SPX,,,,GALR3,GPR151,,,
SDC1,,,,ADGRA2,,,,
SDC2,,,,ADGRA2,,,,
TAC1,,,,TACR3,,,,
TAC3,,,,TACR1,,,,
TAC3,,,,TACR2,,,,
TAFA5,,,,FPR2,,,,
TAFA5,,,,S1PR2,,,,
AKR1D1,,,,AR,,,,
TAX1BP3,,,,ADGRB1,,,,
TBXAS1,,,,TBXA2R,,,,
THY1,,,,ADGRE2,,,,
THY1,,,,ADGRE5,,,,
TF,,,,TFR2,,,,
TF,,,,TFRC,,,,
TGFB1,,,,TGFBR3,,,,
TGFB2,,,,ACVR1,TGFBR2,,,
TGFB2,,,,TGFBR3,,,,
TGFB3,,,,ACVR1,TGFBR2,,,
TGFB3,,,,ITGAV,ITGB6,,,
TGFB3,,,,ITGAV,ITGB8,,,
TGFB3,,,,TGFBR3,,,,
DIO3,TG,,,THRA,,,,
DIO3,TG,,,THRB,,,,
CD160,,,,TNFRSF14,,,,
FASLG,,,,FAS,,,,
FASLG,,,,TNFRSF6B,,,,
TNFSF10,,,,TNFRSF10A,,,,
TNFSF10,,,,TNFRSF10C,,,,
TNFSF10,,,,TNFRSF10D,,,,
TNFSF10,,,,TNFRSF11B,,,,
TNFSF14,,,,TNFRSF6B,,,,
TNFSF15,,,,TNFRSF6B,,,,
VEGFA,,,,FLT1,,,,
VEGFA,,,,FLT1,KDR,,,
VEGFA,,,,KDR,,,,
VEGFA,,,,NRP1,,,,
VEGFA,,,,NRP2,,,,
VEGFB,,,,FLT1,,,,
VEGFB,,,,FLT1,KDR,,,
VEGFB,,,,NRP1,,,,
VEGFC,,,,FLT4,,,,
VEGFC,,,,KDR,,,,
VEGFD,,,,FLT4,,,,
VEGFD,,,,KDR,,,,
VIP,,,,ADCYAP1R1,,,,
VIP,,,,SCTR,,,,
AVP,,,,OXTR,,,,
VWF,,,,GP1BA,GP1BB,,,
DKK1,,,,LRP5,,,,
DKK1,,,,LRP6,,,,
DKK2,,,,LRP6,,,,
WNT1,,,,CER1,,,,
WNT1,,,,FRZB,,,,
WNT1,,,,FZD8,RYK,,,
WNT1,,,,SFRP1,,,,
WNT1,,,,SFRP2,,,,
WNT1,,,,SFRP4,,,,
WNT1,,,,SFRP5,,,,
WNT1,,,,WIF1,,,,
WNT10A,,,,FRZB,,,,
WNT11,,,,CER1,,,,
WNT11,,,,FRZB,,,,
WNT11,,,,FZD1,LRP5,,,
WNT11,,,,FZD1,LRP6,,,
WNT11,,,,FZD10,LRP5,,,
WNT11,,,,FZD10,LRP6,,,
WNT11,,,,FZD2,LRP5,,,
WNT11,,,,FZD2,LRP6,,,
WNT11,,,,FZD3,LRP5,,,
WNT11,,,,FZD3,LRP6,,,
WNT11,,,,FZD4,LRP5,,,
WNT11,,,,FZD4,LRP6,,,
WNT11,,,,FZD5,LRP5,,,
WNT11,,,,FZD5,LRP6,,,
WNT11,,,,FZD6,LRP5,,,
WNT11,,,,FZD6,LRP6,,,
WNT11,,,,FZD7,LRP5,,,
WNT11,,,,FZD7,LRP6,,,
WNT11,,,,FZD8,LRP5,,,
WNT11,,,,FZD8,LRP6,,,
WNT11,,,,FZD9,LRP5,,,
WNT11,,,,FZD9,LRP6,,,
WNT11,,,,SFRP1,,,,
WNT11,,,,SFRP2,,,,
WNT11,,,,SFRP4,,,,
WNT11,,,,SFRP5,,,,
WNT11,,,,WIF1,,,,
WNT16,,,,CER1,,,,
WNT16,,,,FRZB,,,,
WNT16,,,,SFRP1,,,,
WNT16,,,,SFRP2,,,,
WNT16,,,,SFRP4,,,,
WNT16,,,,SFRP5,,,,
WNT16,,,,WIF1,,,,
WNT2,,,,CER1,,,,
WNT2,,,,FRZB,,,,
WNT2,,,,SFRP1,,,,
WNT2,,,,SFRP2,,,,
WNT2,,,,SFRP4,,,,
WNT2,,,,SFRP5,,,,
WNT2,,,,WIF1,,,,
WNT2B,,,,SFRP1,,,,
WNT2B,,,,SFRP2,,,,
WNT2B,,,,SFRP4,,,,
WNT2B,,,,SFRP5,,,,
WNT2B,,,,WIF1,,,,
WNT3,,,,CER1,,,,
WNT3,,,,FRZB,,,,
WNT3,,,,FZD8,RYK,,,
WNT3,,,,SFRP1,,,,
WNT3,,,,SFRP2,,,,
WNT3,,,,SFRP4,,,,
WNT3,,,,SFRP5,,,,
WNT3,,,,WIF1,,,,
WNT3A,,,,CER1,,,,
WNT3A,,,,FRZB,,,,
WNT3A,,,,FZD8,RYK,,,
WNT3A,,,,SFRP1,,,,
WNT3A,,,,SFRP2,,,,
WNT3A,,,,SFRP4,,,,
WNT3A,,,,SFRP5,,,,
WNT3A,,,,WIF1,,,,
WNT4,,,,CER1,,,,
WNT4,,,,FRZB,,,,
WNT4,,,,SFRP1,,,,
WNT4,,,,SFRP2,,,,
WNT4,,,,SFRP4,,,,
WNT4,,,,SFRP5,,,,
WNT4,,,,WIF1,,,,
WNT5A,,,,CER1,,,,
WNT5A,,,,FRZB,,,,
WNT5A,,,,FZD10,LRP5,,,
WNT5A,,,,FZD10,LRP6,,,
WNT5A,,,,FZD2,LRP5,,,
WNT5A,,,,FZD2,LRP6,,,
WNT5A,,,,FZD3,LRP5,,,
WNT5A,,,,FZD3,LRP6,,,
WNT5A,,,,FZD4,LRP5,,,
WNT5A,,,,FZD4,LRP6,,,
WNT5A,,,,FZD5,LRP5,,,
WNT5A,,,,FZD5,LRP6,,,
WNT5A,,,,FZD6,LRP5,,,
WNT5A,,,,FZD6,LRP6,,,
WNT5A,,,,FZD7,LRP5,,,
WNT5A,,,,FZD7,LRP6,,,
WNT5A,,,,FZD8,LRP5,,,
WNT5A,,,,FZD8,LRP6,,,
WNT5A,,,,FZD8,RYK,,,
WNT5A,,,,FZD9,LRP5,,,
WNT5A,,,,FZD9,LRP6,,,
WNT5A,,,,ROR1,,,,
WNT5A,,,,ROR2,,,,
WNT5A,,,,SFRP1,,,,
WNT5A,,,,SFRP2,,,,
WNT5A,,,,SFRP4,,,,
WNT5A,,,,SFRP5,,,,
WNT5A,,,,WIF1,,,,
WNT5B,,,,CER1,,,,
WNT5B,,,,FRZB,,,,
WNT5B,,,,FZD1,LRP5,,,
WNT5B,,,,FZD1,LRP6,,,
WNT5B,,,,FZD10,LRP5,,,
WNT5B,,,,FZD10,LRP6,,,
WNT5B,,,,FZD2,LRP5,,,
WNT5B,,,,FZD2,LRP6,,,
WNT5B,,,,FZD3,LRP5,,,
WNT5B,,,,FZD3,LRP6,,,
WNT5B,,,,FZD4,LRP5,,,
WNT5B,,,,FZD4,LRP6,,,
WNT5B,,,,FZD5,LRP5,,,
WNT5B,,,,FZD5,LRP6,,,
WNT5B,,,,FZD6,LRP5,,,
WNT5B,,,,FZD6,LRP6,,,
WNT5B,,,,FZD7,LRP5,,,
WNT5B,,,,FZD7,LRP6,,,
WNT5B,,,,FZD8,LRP5,,,
WNT5B,,,,FZD8,LRP6,,,
WNT5B,,,,FZD9,LRP5,,,
WNT5B,,,,FZD9,LRP6,,,
WNT5B,,,,SFRP1,,,,
WNT5B,,,,SFRP2,,,,
WNT5B,,,,SFRP4,,,,
WNT5B,,,,SFRP5,,,,
WNT5B,,,,WIF1,,,,
WNT6,,,,CER1,,,,
WNT6,,,,FRZB,,,,
WNT6,,,,SFRP1,,,,
WNT6,,,,SFRP2,,,,
WNT6,,,,SFRP4,,,,
WNT6,,,,SFRP5,,,,
WNT6,,,,WIF1,,,,
WNT7A,,,,CER1,,,,
WNT7A,,,,FRZB,,,,
WNT7A,,,,SFRP1,,,,
WNT7A,,,,SFRP2,,,,
WNT7A,,,,SFRP4,,,,
WNT7A,,,,SFRP5,,,,
WNT7A,,,,WIF1,,,,
WNT7B,,,,SFRP1,,,,
WNT7B,,,,SFRP2,,,,
WNT7B,,,,SFRP4,,,,
WNT7B,,,,SFRP5,,,,
WNT7B,,,,WIF1,,,,
WNT8A,,,,CER1,,,,
WNT8A,,,,FRZB,,,,
WNT8A,,,,SFRP1,,,,
WNT8A,,,,SFRP2,,,,
WNT8A,,,,SFRP4,,,,
WNT8A,,,,SFRP5,,,,
WNT8A,,,,WIF1,,,,
WNT8B,,,,CER1,,,,
WNT8B,,,,FRZB,,,,
WNT8B,,,,SFRP1,,,,
WNT8B,,,,SFRP2,,,,
WNT8B,,,,SFRP4,,,,
WNT8B,,,,SFRP5,,,,
WNT8B,,,,WIF1,,,,
WNT9A,,,,SFRP1,,,,
WNT9A,,,,SFRP2,,,,
WNT9A,,,,SFRP4,,,,
WNT9A,,,,SFRP5,,,,
WNT9A,,,,WIF1,,,,
WNT9B,,,,SFRP1,,,,
WNT9B,,,,SFRP2,,,,
WNT9B,,,,SFRP4,,,,
WNT9B,,,,SFRP5,,,,
WNT9B,,,,WIF1,,,,
DKK1,,,,KREMEN1,LRP6,,,
DKK1,,,,KREMEN2,LRP6,,,
DKK2,,,,KREMEN2,LRP6,,,
INHA,,,,ACVR1,ACVR2A,,,
INHA,,,,ACVR1,ACVR2B,,,
INHA,,,,ACVR1B,ACVR2A,,,
INHA,,,,ACVR1B,ACVR2B,,,
INHA,,,,ACVR1C,ACVR2A,,,
INHA,,,,ACVR1C,ACVR2B,,,
INHA,INHBA,,,ACVR1,ACVR2A,,,
INHA,INHBA,,,ACVR1,ACVR2B,,,
INHA,INHBA,,,ACVR1B,ACVR2A,,,
INHA,INHBA,,,ACVR1B,ACVR2B,,,
INHA,INHBA,,,ACVR1C,ACVR2A,,,
INHA,INHBA,,,ACVR1C,ACVR2B,,,
INHA,INHBB,,,ACVR1,ACVR2A,,,
INHA,INHBB,,,ACVR1,ACVR2B,,,
INHA,INHBB,,,ACVR1B,ACVR2A,,,
INHA,INHBB,,,ACVR1B,ACVR2B,,,
INHA,INHBB,,,ACVR1C,ACVR2A,,,
INHA,INHBB,,,ACVR1C,ACVR2B,,,
INHBC,,,,ACVR2A,,,,
INHBC,,,,ACVR2B,,,,
INHBE,,,,ACVR2A,,,,
INHBE,,,,ACVR2B,,,,
ARTN,,,,GFRA1,RET,,,
ARTN,,,,GFRA3,RET,,,
PSPN,,,,GFRA4,RET,,,
ITGAV,ITGB1,,,ADGRE2,,,,
ITGAV,ITGB1,,,ADGRE5,,,,
ITGAV,ITGB3,,,ADGRA2,,,,
ITGAV,ITGB3,,,ADGRE2,,,,
ITGAV,ITGB3,,,ADGRE5,,,,
ITGAV,ITGB5,,,ADGRB1,,,,
ADIPOQ,,,,ADIPOR1,ADIPOR2,,,
ALB,,,,B2M,FCGRT,,,
BST2,,,,LILRA4,,,,
CBLN1,NRXN1,,,GRID2,,,,
CD1D,,,,LILRB2,,,,
CD200,,,,CD200R1,,,,
CD24,,,,SELP,,,,
CD248,,,,IL6R,,,,
CD274,,,,CD80,,,,
CD276,,,,TREML2,,,,
CD34,,,,SELL,,,,
CD44,,,,SELE,,,,
CD47,,,,SIRPB1,TYROBP,,,
CD48,,,,CD244,,,,
CD52,,,,SIGLEC10,,,,
CD55,,,,ADGRE5,,,,
CD58,,,,CD2,,,,
CD80,,,,NGFR,,,,
CD93,,,,IFNGR1,,,,
CHL1,,,,CHL1,,,,
CHL1,,,,L1CAM,,,,
CLCF1,,,,CNTFR,IL6ST,LIFR,,
CLU,,,,TREM2,TYROBP,,,
CNTF,,,,CNTFR,IL6ST,LIFR,,
CNTN1,,,,MCAM,,,,
CRTAM,,,,CADM1,,,,
CSPG4,,,,ITGA3,ITGB1,,,
ERVH48,,,,SLC1A5,,,,
FBN1,,,,ITGA5,ITGB1,,,
FGFR4,,,,TGFBR3,,,,
FLT3LG,,,,FLT3,,,,
FTH1,,,,SCARA5,,,,
FTL,,,,SCARA5,,,,
GDNF,,,,GFRA1,RET,,,
HEBP1,,,,FPR3,,,,
HFE,,,,TFRC,,,,
JAG1,,,,CD46,,,,
JAG1,,,,VASN,,,,
JAG2,,,,VASN,,,,
KITLG,,,,KIT,,,,
KLRB1,,,,CLEC2D,,,,
LAMA2,,,,ADGRG6,,,,
LCN2,,,,SLC22A17,,,,
LIF,,,,IL6ST,LIFR,,,
LRPAP1,,,,SORT1,,,,
MLN,,,,MLNR,,,,
MMP2,,,,ITGAV,ITGB3,,,
MST1,,,,MST1R,,,,
NDP,,,,FZD4,LRP5,,,
NELL2,,,,ROBO3,,,,
NSMF,,,,GNRHR,,,,
NXNL1,,,,BSG,SLC16A1,,,
OMD,,,,ITGAV,ITGB3,,,
PECAM1,,,,CD38,,,,
PENK,,,,GHSR,,,,
PI16,,,,TNFRSF21,,,,
PLG,,,,ITGA2B,ITGB3,,,
PPIA,,,,BSG,,,,
PRNP,,,,ADGRG6,,,,
PROC,,,,PROCR,,,,
PRXL2B,,,,PTGFR,,,,
PTGIS,,,,PTGIR,,,,
PTPRD,,,,IL1RAP,,,,
PTPRD,,,,IL1RAPL1,,,,
PTPRS,,,,NTRK3,,,,
RBP4,,,,STRA6,,,,
REN,,,,ATP6AP2,,,,
RNASET2,,,,TLR8,,,,
RTN4R,,,,ADGRB1,,,,
SFTPD,,,,ADGRE5,,,,
SIGLEC15,,,,CD44,,,,
SPN,,,,SIGLEC1,,,,
TPO,,,,THRB,,,,
TSLP,,,,CRLF2,IL7R,,,
TULP1,,,,TYRO3,,,,
CD177,,,,PECAM1,,,,
CD47,,,,SIRPA,,,,
CD47,,,,SIRPG,,,,
DAG1,,,,NRXN3,,,,
HLA-E,,,,VSIR,,,,
HLA-F,,,,VSIR,,,,
NLGN4Y,,,,NRXN3,,,,
PVR,,,,KIR2DL5A,,,,
SDC2,,,,FGFR4,,,,
CD44,,,,TYROBP,,,,
SEMA3F,,,,PLXNA3,,,,
SEMA3F,,,,PLXNA1,,,,
SEMA3F,,,,NRP1,,,,
HEBP1,,,,ADRA2A,,,,
HEBP1,,,,MTNR1A,,,,
HEBP1,,,,GRM7,,,,
DCN,,,,EGFR,,,,
DCN,,,,MET,,,,
DCN,,,,ERBB4,,,,
GRN,,,,TNFRSF1A,,,,
GRN,,,,EGFR,,,,
GRN,,,,TNFRSF1B,,,,
GRN,,,,CLEC4M,,,,
ICAM3,,,,ITGAL,,,,
ICAM3,,,,ITGB2,,,,
ICAM3,,,,ITGAD,,,,
CEACAM1,,,,EGFR,,,,
FGF4,,,,NRP1,,,,
ST6GAL1,,,,EGFR,,,,
NTN1,,,,UNC5D,,,,
NTN1,,,,ADORA2B,,,,
NTN1,,,,NEO1,,,,
SCT,,,,PTH1R,,,,
SCT,,,,ADCYAP1R1,,,,
SCT,,,,RAMP2,,,,
SCT,,,,RAMP3,,,,
SCT,,,,GPR20,,,,
SCT,,,,ADRB2,,,,
SCT,,,,ADRB3,,,,
SCT,,,,TSHR,,,,
SCT,,,,GPR84,,,,
CEACAM6,,,,EGFR,,,,
EFNB1,,,,ERBB2,,,,
EFNB1,,,,EPHA6,,,,
VCL,,,,ITGB5,,,,
VCL,,,,ALK,,,,
EFNA2,,,,EPHA10,,,,
EFNA2,,,,EPHA6,,,,
FGF22,,,,FGFR1,,,,
MADCAM1,,,,ITGA4,,,,
MADCAM1,,,,CD44,,,,
MADCAM1,,,,ITGB7,,,,
MIF,,,,CXCR4,,,,
MIF,,,,CD44,,,,
MIF,,,,EGFR,,,,
MIF,,,,CXCR2,,,,
OSM,,,,LIFR,,,,
OSM,,,,IL6ST,,,,
OSM,,,,OSMR,,,,
TCN2,,,,LRP2,,,,
TCN2,,,,CNR1,,,,
LGALS1,,,,ITGB1,,,,
LGALS1,,,,PTPRC,,,,
NID2,,,,COL13A1,,,,
GZMB,,,,CHRM3,,,,
GZMB,,,,IGF2R,,,,
F9,,,,LRP1,,,,
PCSK1N,,,,GPR171,,,,
TIMP1,,,,FGFR2,,,,
TIMP1,,,,CD63,,,,
MMP2,,,,PECAM1,,,,
MMP2,,,,CCR2,,,,
MMP2,,,,SDC2,,,,
MMP2,,,,FGFR1,,,,
CCL17,,,,CCR8,,,,
TG,,,,ASGR1,,,,
TG,,,,LRP2,,,,
TG,,,,TPO,,,,
SFRP1,,,,FZD2,,,,
SFRP1,,,,FZD6,,,,
PLAT,,,,ITGAM,,,,
PLAT,,,,LRP1,,,,
PLAT,,,,ITGB2,,,,
DKK4,,,,LRP6,,,,
DKK4,,,,LRP5,,,,
LHB,,,,PTH1R,,,,
LHB,,,,ADCYAP1R1,,,,
LHB,,,,RAMP2,,,,
LHB,,,,VIPR1,,,,
LHB,,,,RAMP3,,,,
LHB,,,,GPR20,,,,
LHB,,,,ADRB2,,,,
LHB,,,,ADRB3,,,,
LHB,,,,TSHR,,,,
LHB,,,,GPR84,,,,
AMH,,,,ACVR1,,,,
AMH,,,,EGFR,,,,
AMH,,,,AMHR2,,,,
RETN,,,,GPR25,,,,
EBI3,,,,IL27RA,,,,
EBI3,,,,IL6ST,,,,
TGFB1,,,,ENG,,,,
TGFB1,,,,EGFR,,,,
TGFB1,,,,ITGB8,,,,
ICAM5,,,,ITGAL,,,,
ICAM5,,,,ITGB2,,,,
COMP,,,,ITGB1,,,,
COMP,,,,ITGB3,,,,
HGF,,,,CD44,,,,
HGF,,,,SDC1,,,,
HGF,,,,ITGB1,,,,
HGF,,,,SDC2,,,,
HGF,,,,NRP1,,,,
HGF,,,,ST14,,,,
LAMB1,,,,ITGA7,,,,
LAMB1,,,,ITGAV,,,,
LAMB1,,,,ITGB1,,,,
LAMB1,,,,ITGA6,,,,
LAMB1,,,,ITGA1,,,,
LAMB1,,,,ITGA2,,,,
WNT16,,,,FZD6,,,,
NAMPT,,,,ADORA2A,,,,
PON2,,,,HTR2A,,,,
PDAP1,,,,PDGFRB,,,,
SERPINE1,,,,LRP2,,,,
SERPINE1,,,,PLAUR,,,,
SERPINE1,,,,ITGAV,,,,
SERPINE1,,,,LRP1,,,,
SERPINE1,,,,ITGB5,,,,
C5,,,,ADRA2A,,,,
C5,,,,MTNR1A,,,,
C5,,,,GRM7,,,,
CSF3,,,,CSF1R,,,,
WNT3,,,,RYK,,,,
WNT3,,,,LRP6,,,,
WNT3,,,,ROR2,,,,
WNT3,,,,FZD1,,,,
WNT3,,,,FZD7,,,,
WNT3,,,,FZD8,,,,
WNT3,,,,FZD5,,,,
CCL2,,,,CCR4,,,,
CCL2,,,,CCR1,,,,
CCL2,,,,CCR5,,,,
CCL2,,,,CCR10,,,,
CCL2,,,,CCR3,,,,
CCL2,,,,ACKR4,,,,
COL1A1,,,,ITGA5,,,,
COL1A1,,,,CD93,,,,
COL1A1,,,,FLT4,,,,
COL1A1,,,,CD36,,,,
COL1A1,,,,ITGA1,,,,
COL1A1,,,,DDR2,,,,
COL1A1,,,,ITGAV,,,,
COL1A1,,,,ITGB1,,,,
COL1A1,,,,ITGA11,,,,
COL1A1,,,,TMPRSS6,,,,
COL1A1,,,,ITGA2,,,,
COL1A1,,,,DDR1,,,,
EFNB3,,,,RHBDL2,,,,
VTN,,,,ITGA8,,,,
VTN,,,,CD47,,,,
VTN,,,,ITGAV,,,,
VTN,,,,ITGB1,,,,
VTN,,,,KDR,,,,
VTN,,,,PLAUR,,,,
VTN,,,,ITGA2B,,,,
VTN,,,,ITGB3,,,,
VTN,,,,ITGB6,,,,
VTN,,,,TNFRSF11B,,,,
VTN,,,,PVR,,,,
VTN,,,,ITGB5,,,,
IBSP,,,,ITGB3,,,,
IBSP,,,,ITGAV,,,,
IL2,,,,IL2RA,,,,
IL2,,,,IL2RG,,,,
IL2,,,,CD53,,,,
APOC3,,,,LRP2,,,,
APOC3,,,,LDLR,,,,
